participant,blockID,trialID,condition,screenID,leftColor,rightColor,leftImage,rightImage,correctObject,correctResp,response,acc,rt,target,distractor
14,3,12,A,memory-resp,#FFFFFF,#472579,image26,image255,NA,left,NULL,FALSE,NA,image255,image26
14,3,12,A,memory-resp,#712a28,#FFFFFF,image174,image26,NA,left,NULL,FALSE,NA,image174,image174
14,3,12,A,retrieval,NA,NA,NA,NA,image60,NA,image60,TRUE,4241.899999976158,image60,image60
14,3,12,A,retrieval,NA,NA,NA,NA,image255,NA,image255,TRUE,3320,image255,image60
14,3,12,A,retrieval,NA,NA,NA,NA,image39,NA,image39,TRUE,2866,image39,image60
14,3,12,A,retrieval,NA,NA,NA,NA,image174,NA,image174,TRUE,2225.9000000953674,image174,image60
14,3,13,A,memory-resp,#FFFFFF,#299967,image26,image167,NA,left,NULL,FALSE,NA,image167,image26
14,3,13,A,memory-resp,#FFFFFF,#1b11a2,image26,image88,NA,left,NULL,FALSE,NA,image88,image26
14,3,13,A,memory-resp,#FFFFFF,#8d8420,image26,image35,NA,right,NULL,FALSE,NA,image35,image35
14,3,13,A,memory-resp,#FFFFFF,#d8137f,image26,image244,NA,right,NULL,FALSE,NA,image244,image244
14,3,13,A,retrieval,NA,NA,NA,NA,image35,NA,image35,TRUE,2593.100000023842,image35,image26
14,3,13,A,retrieval,NA,NA,NA,NA,image88,NA,image88,TRUE,2975.5,image88,image26
14,3,13,A,retrieval,NA,NA,NA,NA,image167,NA,image167,TRUE,2386.600000023842,image167,image26
14,3,13,A,retrieval,NA,NA,NA,NA,image244,NA,image244,TRUE,3121.600000023842,image244,image26
14,3,14,A,memory-resp,#FFFFFF,#263a78,image26,image423,NA,left,NULL,FALSE,NA,image423,image26
14,3,14,A,memory-resp,#91914b,#FFFFFF,image244,image26,NA,right,NULL,FALSE,NA,image244,image26
14,3,14,A,memory-resp,#FFFFFF,#14854e,image26,image376,NA,right,NULL,FALSE,NA,image376,image376
14,3,14,A,memory-resp,#a3437b,#FFFFFF,image200,image26,NA,right,NULL,FALSE,NA,image200,image26
14,3,14,A,retrieval,NA,NA,NA,NA,image423,NA,image423,TRUE,6763.400000095367,image423,image26
14,3,14,A,retrieval,NA,NA,NA,NA,image376,NA,image376,TRUE,4117.699999928474,image376,image26
14,3,14,A,retrieval,NA,NA,NA,NA,image244,NA,image244,TRUE,2846.7999999523163,image244,image26
14,3,14,A,retrieval,NA,NA,NA,NA,image200,NA,image200,TRUE,2448.7000000476837,image200,image26
14,3,15,A,memory-resp,#FFFFFF,#4e9f28,image26,image95,NA,left,NULL,FALSE,NA,image95,image26
14,3,15,A,memory-resp,#FFFFFF,#22c9c3,image26,image86,NA,left,NULL,FALSE,NA,image86,image26
14,3,15,A,memory-resp,#FFFFFF,#573582,image26,image188,NA,left,NULL,FALSE,NA,image188,image26
14,3,15,A,memory-resp,#9b2c2e,#FFFFFF,image307,image26,NA,right,NULL,FALSE,NA,image307,image26
14,3,15,A,retrieval,NA,NA,NA,NA,image95,NA,image95,TRUE,5464,image95,image26
14,3,15,A,retrieval,NA,NA,NA,NA,image86,NA,image86,TRUE,2556.899999976158,image86,image26
14,3,15,A,retrieval,NA,NA,NA,NA,image307,NA,image307,TRUE,2376.1999999284744,image307,image26
14,3,15,A,retrieval,NA,NA,NA,NA,image188,NA,image188,TRUE,1665.8999999761581,image188,image26
14,4,P1,D,processing,#FFFFFF,#8710d1,image124,image161,NA,left,left,TRUE,2321.5,NA,NA
14,4,P1,D,processing,#FFFFFF,#2c82aa,image305,image24,NA,right,right,TRUE,2438.399999976158,NA,NA
14,4,P1,D,processing,#FFFFFF,#69ba3b,image167,image284,NA,right,NULL,FALSE,NA,NA,NA
14,4,P1,D,processing,#FFFFFF,#9f4e28,image223,image10,NA,left,left,TRUE,1789.5,NA,NA
14,4,P2,D,processing,#5ac22e,#FFFFFF,image351,image399,NA,left,right,FALSE,1481.4000000953674,NA,NA
14,4,P2,D,processing,#FFFFFF,#2d757c,image213,image415,NA,right,right,TRUE,2101.899999976158,NA,NA
14,4,P2,D,processing,#703e2e,#FFFFFF,image148,image169,NA,right,right,TRUE,1920.5,NA,NA
14,4,P2,D,processing,#753190,#FFFFFF,image206,image182,NA,right,right,TRUE,1879.3999999761581,NA,NA
14,4,P3,D,processing,#1087a8,#FFFFFF,image365,image429,NA,right,right,TRUE,1424.1999999284744,NA,NA
14,4,P3,D,processing,#1fca16,#FFFFFF,image25,image228,NA,right,right,TRUE,1926.5999999046326,NA,NA
14,4,P3,D,processing,#e66814,#FFFFFF,image331,image120,NA,right,right,TRUE,1426,NA,NA
14,4,P3,D,processing,#772d80,#FFFFFF,image343,image388,NA,right,right,TRUE,2191.2000000476837,NA,NA
14,4,P4,D,processing,#1e6f85,#FFFFFF,image52,image415,NA,left,left,TRUE,1693.5,NA,NA
14,4,P4,D,processing,#FFFFFF,#570e8b,image351,image208,NA,left,left,TRUE,1621.6000000238419,NA,NA
14,4,P4,D,processing,#FFFFFF,#5e964a,image342,image360,NA,left,right,FALSE,1743.7000000476837,NA,NA
14,4,P4,D,processing,#684336,#FFFFFF,image59,image206,NA,right,NULL,FALSE,NA,NA,NA
14,4,P5,D,processing,#17826b,#FFFFFF,image169,image304,NA,left,left,TRUE,2178.8000000715256,NA,NA
14,4,P5,D,processing,#52419f,#FFFFFF,image102,image278,NA,left,left,TRUE,1760.6999999284744,NA,NA
14,4,P5,D,processing,#FFFFFF,#708132,image193,image317,NA,left,left,TRUE,1544.9000000953674,NA,NA
