participant,blockID,trialID,condition,screenID,leftColor,rightColor,leftImage,rightImage,correctObject,response,acc,rt
2,1,9,A,memory-resp,#FFFFFF,#a6ae32,image26,image163,NA,right,FALSE,1087.7000000001863
2,1,9,A,memory-resp,#26c993,#FFFFFF,image193,image26,NA,left,TRUE,1295
2,1,9,A,retrieval,NA,NA,NA,NA,image163,image163,TRUE,2538.7000000001863
2,1,9,A,retrieval,NA,NA,NA,NA,image68,image68,TRUE,2206.100000000093
2,1,9,A,retrieval,NA,NA,NA,NA,image50,image50,TRUE,832.6000000000931
2,1,9,A,retrieval,NA,NA,NA,NA,image193,image193,TRUE,813.5
2,1,10,A,memory-resp,#FFFFFF,#871c7e,image26,image425,NA,right,TRUE,1416.7999999998137
2,1,10,A,memory-resp,#FFFFFF,#ab942b,image26,image120,NA,right,TRUE,1064.7999999998137
2,1,10,A,memory-resp,#2a3974,#FFFFFF,image365,image26,NA,left,FALSE,967.3999999999069
2,1,10,A,memory-resp,#1c8228,#FFFFFF,image200,image26,NA,left,FALSE,914.7999999998137
2,1,10,A,retrieval,NA,NA,NA,NA,image200,image200,TRUE,3806.2000000001863
2,1,10,A,retrieval,NA,NA,NA,NA,image120,image120,TRUE,2124.2000000001863
2,1,10,A,retrieval,NA,NA,NA,NA,image425,image425,TRUE,945.8999999999069
2,1,10,A,retrieval,NA,NA,NA,NA,image365,image365,TRUE,2195.899999999907
2,1,11,A,memory-resp,#6a8033,#FFFFFF,image324,image26,NA,left,FALSE,1500.8999999999069
2,1,11,A,memory-resp,#FFFFFF,#37a974,image26,image115,NA,right,FALSE,1068
2,1,11,A,memory-resp,#FFFFFF,#2e1986,image26,image133,NA,right,TRUE,800.3000000002794
2,1,11,A,memory-resp,#c01b5d,#FFFFFF,image330,image26,NA,left,TRUE,871.8999999999069
2,1,11,A,retrieval,NA,NA,NA,NA,image115,image115,TRUE,8678.200000000186
2,1,11,A,retrieval,NA,NA,NA,NA,image324,image324,TRUE,1444.3999999999069
2,1,11,A,retrieval,NA,NA,NA,NA,image133,image133,TRUE,2339.600000000093
2,1,11,A,retrieval,NA,NA,NA,NA,image330,image330,TRUE,530.2999999998137
2,1,12,A,memory-resp,#FFFFFF,#6c4186,image26,image63,NA,right,TRUE,1875.1000000000931
2,1,12,A,memory-resp,#25acc1,#FFFFFF,image263,image26,NA,left,FALSE,1455.3000000002794
2,1,12,A,memory-resp,#4c9018,#FFFFFF,image152,image26,NA,left,TRUE,1229.3000000002794
2,1,12,A,memory-resp,#de2817,#FFFFFF,image73,image26,NA,left,FALSE,499
2,1,12,A,retrieval,NA,NA,NA,NA,image73,image73,TRUE,3012.100000000093
2,1,12,A,retrieval,NA,NA,NA,NA,image152,image152,TRUE,4468.600000000093
2,1,12,A,retrieval,NA,NA,NA,NA,image263,image263,TRUE,1317.5
2,1,12,A,retrieval,NA,NA,NA,NA,image63,image63,TRUE,742.1000000000931
2,1,13,A,memory-resp,#FFFFFF,#77c313,image26,image195,NA,right,TRUE,1001.6000000000931
2,1,13,A,memory-resp,#319ea0,#FFFFFF,image134,image26,NA,left,FALSE,739.6000000000931
2,1,13,A,memory-resp,#FFFFFF,#580cb6,image26,image186,NA,right,TRUE,1237.4000000003725
2,1,13,A,memory-resp,#a72b1b,#FFFFFF,image12,image26,NA,left,FALSE,748.2000000001863
2,1,13,A,retrieval,NA,NA,NA,NA,image12,image12,TRUE,1511.2000000001863
2,1,13,A,retrieval,NA,NA,NA,NA,image134,image186,FALSE,9463.299999999814
2,1,13,A,retrieval,NA,NA,NA,NA,image186,image195,FALSE,2054
2,1,13,A,retrieval,NA,NA,NA,NA,image195,image134,FALSE,747.5999999996275
2,1,14,A,memory-resp,#FFFFFF,#939711,image26,image378,NA,right,FALSE,2238.100000000093
2,1,14,A,memory-resp,#FFFFFF,#429a78,image26,image313,NA,right,FALSE,1194
2,1,14,A,memory-resp,#FFFFFF,#b53058,image26,image223,NA,right,TRUE,956.3000000002794
2,1,14,A,memory-resp,#23198a,#FFFFFF,image300,image26,NA,NULL,FALSE,NA
2,1,14,A,retrieval,NA,NA,NA,NA,image378,image378,TRUE,1795.6000000000931
2,1,14,A,retrieval,NA,NA,NA,NA,image223,image223,TRUE,1595.7000000001863
2,1,14,A,retrieval,NA,NA,NA,NA,image300,image300,TRUE,4873.5999999996275
2,1,14,A,retrieval,NA,NA,NA,NA,image313,image313,TRUE,612.3999999999069
2,1,15,A,memory-resp,#2d2d8b,#FFFFFF,image197,image26,NA,left,TRUE,1504.8999999999069
2,1,15,A,memory-resp,#FFFFFF,#0ecd67,image26,image88,NA,right,FALSE,1227.5
2,1,15,A,memory-resp,#FFFFFF,#9d7915,image26,image165,NA,right,FALSE,637.1000000000931
2,1,15,A,memory-resp,#FFFFFF,#b9186e,image26,image60,NA,right,TRUE,716.8999999999069
2,1,15,A,retrieval,NA,NA,NA,NA,image197,image197,TRUE,1850.6000000000931
2,1,15,A,retrieval,NA,NA,NA,NA,image88,image88,TRUE,1329.6999999997206
2,1,15,A,retrieval,NA,NA,NA,NA,image60,image60,TRUE,1170
2,1,15,A,retrieval,NA,NA,NA,NA,image165,image165,TRUE,458.1999999997206
2,2,P1,C,processing,#8eb80f,#FFFFFF,image226,image26,NA,left,TRUE,1203.8999999999069
2,2,P1,C,processing,#FFFFFF,#7d11e8,image26,image371,NA,left,TRUE,1275.6000000000931
2,2,P1,C,processing,#25d4c3,#FFFFFF,image346,image26,NA,left,TRUE,1162.0999999996275
2,2,P1,C,processing,#a41e3f,#FFFFFF,image327,image26,NA,right,TRUE,1058.1000000000931
2,2,P2,C,processing,#FFFFFF,#3f8a14,image26,image371,NA,left,TRUE,1024.8000000002794
2,2,P2,C,processing,#0b7f99,#FFFFFF,image385,image26,NA,left,TRUE,624.3999999999069
2,2,P2,C,processing,#FFFFFF,#7c3489,image26,image258,NA,left,TRUE,1092.2000000001863
2,2,P2,C,processing,#8b614b,#FFFFFF,image100,image26,NA,right,TRUE,1461.8999999999069
2,2,P3,C,processing,#3552ac,#FFFFFF,image32,image26,NA,left,TRUE,863.0999999996275
2,2,P3,C,processing,#12ce5a,#FFFFFF,image79,image26,NA,left,TRUE,777.7000000001863
2,2,P3,C,processing,#FFFFFF,#76703d,image26,image290,NA,left,TRUE,917.1999999997206
2,2,P3,C,processing,#FFFFFF,#9c3569,image26,image147,NA,left,TRUE,1116.1000000000931
2,2,P4,C,processing,#a9af3c,#FFFFFF,image226,image26,NA,left,TRUE,814
2,2,P4,C,processing,#67324f,#FFFFFF,image216,image26,NA,left,TRUE,638.3999999999069
2,2,P4,C,processing,#FFFFFF,#179256,image26,image344,NA,left,TRUE,1068.1999999997206
2,2,P4,C,processing,#1724de,#FFFFFF,image420,image26,NA,left,TRUE,658.6999999997206
2,2,P5,C,processing,#FFFFFF,#561dc9,image26,image216,NA,right,TRUE,763
2,2,P5,C,processing,#729b50,#FFFFFF,image7,image26,NA,right,TRUE,929.5
2,2,P5,C,processing,#FFFFFF,#802019,image26,image103,NA,right,TRUE,637.2999999998137
2,2,P5,C,processing,#41abaf,#FFFFFF,image62,image26,NA,right,TRUE,1043.3000000002794
2,2,P6,C,processing,#2c3496,#FFFFFF,image230,image26,NA,left,TRUE,1212.3999999999069
2,2,P6,C,processing,#FFFFFF,#7f1f4d,image26,image163,NA,left,TRUE,1601.6000000000931
2,2,P6,C,processing,#FFFFFF,#ab8d36,image26,image189,NA,right,TRUE,948.1000000000931
2,2,P6,C,processing,#FFFFFF,#3cb470,image26,image226,NA,right,TRUE,624.1999999997206
2,2,P7,C,processing,#a7112f,#FFFFFF,image169,image26,NA,left,TRUE,710.7000000001863
2,2,P7,C,processing,#FFFFFF,#55762d,image26,image193,NA,right,TRUE,750.6999999997206
2,2,P7,C,processing,#108979,#FFFFFF,image294,image26,NA,right,TRUE,883.1000000000931
2,2,P7,C,processing,#544077,#FFFFFF,image47,image26,NA,right,TRUE,874.3000000002794
2,2,P8,C,processing,#8ba352,#FFFFFF,image258,image26,NA,right,TRUE,1043.3000000002794
2,2,P8,C,processing,#bf0d37,#FFFFFF,image39,image26,NA,right,TRUE,1074.5
2,2,P8,C,processing,#FFFFFF,#482aac,image26,image188,NA,left,TRUE,1052.6000000000931
2,2,P8,C,processing,#FFFFFF,#2fb6a4,image26,image91,NA,right,TRUE,1000.6000000000931
2,2,P9,C,processing,#FFFFFF,#941e36,image26,image274,NA,left,TRUE,1363.8999999999069
2,2,P9,C,processing,#0da074,#FFFFFF,image119,image26,NA,right,TRUE,972.3999999999069
2,2,P9,C,processing,#5a6b33,#FFFFFF,image111,image26,NA,right,TRUE,965
2,2,P9,C,processing,#5e429e,#FFFFFF,image248,image26,NA,left,TRUE,1040.3000000002794
2,2,P10,C,processing,#caba12,#FFFFFF,image95,image26,NA,right,TRUE,1046.8000000002794
2,2,P10,C,processing,#7b1e5a,#FFFFFF,image77,image26,NA,left,TRUE,1009.7999999998137
2,2,P10,C,processing,#3ba55b,#FFFFFF,image140,image26,NA,right,TRUE,1000.5999999996275
2,2,P10,C,processing,#193a9f,#FFFFFF,image117,image26,NA,right,TRUE,788.7000000001863
2,2,P11,C,processing,#623e89,#FFFFFF,image92,image26,NA,right,TRUE,840
2,2,P11,C,processing,#36b6bf,#FFFFFF,image117,image26,NA,right,TRUE,660.7999999998137
2,2,P11,C,processing,#FFFFFF,#4f733a,image26,image381,NA,left,TRUE,1437.8000000002794
2,2,P11,C,processing,#b8142d,#FFFFFF,image327,image26,NA,right,TRUE,852.2999999998137
2,2,P12,C,processing,#FFFFFF,#649645,image26,image71,NA,left,TRUE,936.7999999998137
2,2,P12,C,processing,#744c9a,#FFFFFF,image172,image26,NA,right,TRUE,829.7000000001863
2,2,P12,C,processing,#924645,#FFFFFF,image160,image26,NA,right,TRUE,965
2,2,P12,C,processing,#3a7888,#FFFFFF,image182,image26,NA,left,TRUE,904.6000000000931
2,2,P13,C,processing,#FFFFFF,#2fbcb2,image26,image336,NA,left,TRUE,980.3999999999069
2,2,P13,C,processing,#FFFFFF,#4a2191,image26,image113,NA,right,TRUE,808.1000000000931
2,2,P13,C,processing,#FFFFFF,#647b32,image26,image63,NA,right,TRUE,1020.2000000001863
2,2,P13,C,processing,#FFFFFF,#a0404e,image26,image112,NA,left,TRUE,1033.8000000002794
2,2,P14,C,processing,#47598a,#FFFFFF,image16,image26,NA,left,TRUE,776.6000000000931
2,2,P14,C,processing,#8a8638,#FFFFFF,image113,image26,NA,left,TRUE,551.5999999996275
2,2,P14,C,processing,#FFFFFF,#0fd23c,image26,image363,NA,left,TRUE,1024.3000000002794
2,2,P14,C,processing,#FFFFFF,#bb3a90,image26,image411,NA,left,TRUE,733.3000000002794
2,2,P15,C,processing,#cb1090,#FFFFFF,image269,image26,NA,left,TRUE,868.1000000000931
2,2,P15,C,processing,#2c8c41,#FFFFFF,image236,image26,NA,right,TRUE,869.7000000001863
2,2,P15,C,processing,#FFFFFF,#424e8a,image26,image91,NA,right,TRUE,710.1000000000931
2,2,P15,C,processing,#FFFFFF,#b98531,image26,image305,NA,left,TRUE,1252.8000000002794
2,2,P16,C,processing,#FFFFFF,#1d8151,image26,image290,NA,left,TRUE,793.3999999999069
2,2,P16,C,processing,#8a9e2e,#FFFFFF,image168,image26,NA,right,TRUE,909.8000000002794
2,2,P16,C,processing,#302673,#FFFFFF,image81,image26,NA,right,TRUE,846.7999999998137
2,2,P16,C,processing,#FFFFFF,#b04072,image26,image178,NA,right,TRUE,682
2,2,P17,C,processing,#FFFFFF,#1a2ad5,image26,image124,NA,right,TRUE,1103.8999999999069
2,2,P17,C,processing,#FFFFFF,#207e46,image26,image344,NA,left,TRUE,963.6000000000931
2,2,P17,C,processing,#a9890a,#FFFFFF,image100,image26,NA,right,TRUE,911.5
2,2,P17,C,processing,#b8329d,#FFFFFF,image178,image26,NA,left,TRUE,705.7999999998137
2,2,P18,C,processing,#5f9915,#FFFFFF,image216,image26,NA,left,TRUE,779.1000000000931
2,2,P18,C,processing,#0bad9a,#FFFFFF,image413,image26,NA,left,TRUE,695
2,2,P18,C,processing,#831b25,#FFFFFF,image95,image26,NA,right,TRUE,817.3999999999069
2,2,P18,C,processing,#FFFFFF,#4b237b,image26,image187,NA,right,TRUE,626.9000000003725
2,2,P19,C,processing,#45bd32,#FFFFFF,image181,image26,NA,left,TRUE,779.6000000000931
2,2,P19,C,processing,#8a469b,#FFFFFF,image112,image26,NA,right,TRUE,832.3000000002794
