participant,blockID,trialID,condition,screenID,leftColor,rightColor,leftImage,rightImage,correctObject,correctResp,response,acc,rt,target,distractor
13,1,P9,B,processing,#3a6c6e,#FFFFFF,image68,image26,NA,right,right,TRUE,697.5,NA,NA
13,1,P9,B,processing,#FFFFFF,#924135,image26,image57,NA,left,left,TRUE,599.1999999284744,NA,NA
13,1,P10,B,processing,#FFFFFF,#20886c,image26,image174,NA,left,left,TRUE,571.5,NA,NA
13,1,P10,B,processing,#FFFFFF,#87b83d,image26,image49,NA,left,left,TRUE,529,NA,NA
13,1,P10,B,processing,#724aa5,#FFFFFF,image369,image26,NA,right,right,TRUE,598.3999999761581,NA,NA
13,1,P10,B,processing,#FFFFFF,#910d2c,image26,image4,NA,left,left,TRUE,592.2999999523163,NA,NA
13,1,P11,B,processing,#2d78ae,#FFFFFF,image195,image26,NA,right,right,TRUE,583.6000000238419,NA,NA
13,1,P11,B,processing,#6c2673,#FFFFFF,image335,image26,NA,right,right,TRUE,603,NA,NA
13,1,P11,B,processing,#27be43,#FFFFFF,image124,image26,NA,right,right,TRUE,568.3999999761581,NA,NA
13,1,P11,B,processing,#FFFFFF,#bb731b,image26,image104,NA,left,left,TRUE,590.7000000476837,NA,NA
13,1,P12,B,processing,#FFFFFF,#913b0d,image26,image254,NA,left,left,TRUE,541.5,NA,NA
13,1,P12,B,processing,#FFFFFF,#1c90b0,image26,image189,NA,left,left,TRUE,599.2000000476837,NA,NA
13,1,P12,B,processing,#FFFFFF,#8d369b,image26,image262,NA,left,left,TRUE,645.1000000238419,NA,NA
13,1,P12,B,processing,#FFFFFF,#68a942,image26,image321,NA,left,left,TRUE,634.6000000238419,NA,NA
13,1,P13,B,processing,#887b35,#FFFFFF,image222,image26,NA,right,right,TRUE,580.6999999284744,NA,NA
13,1,P13,B,processing,#3131a5,#FFFFFF,image342,image26,NA,right,right,TRUE,575.1000000238419,NA,NA
13,1,P13,B,processing,#9e4c75,#FFFFFF,image37,image26,NA,right,right,TRUE,581.3000000715256,NA,NA
13,1,P13,B,processing,#0dab71,#FFFFFF,image420,image26,NA,right,right,TRUE,1386.7999999523163,NA,NA
13,1,P14,B,processing,#24537f,#FFFFFF,image12,image26,NA,right,right,TRUE,566.0999999046326,NA,NA
13,1,P14,B,processing,#6c4837,#FFFFFF,image77,image26,NA,right,right,TRUE,599.9000000953674,NA,NA
13,1,P14,B,processing,#349d3d,#FFFFFF,image264,image26,NA,right,right,TRUE,529.2999999523163,NA,NA
13,1,P14,B,processing,#893487,#FFFFFF,image293,image26,NA,right,right,TRUE,571.7000000476837,NA,NA
13,1,P15,B,processing,#1788cf,#FFFFFF,image133,image26,NA,right,right,TRUE,1111.6000000238419,NA,NA
13,1,P15,B,processing,#FFFFFF,#8c4821,image26,image138,NA,left,left,TRUE,586.7999999523163,NA,NA
13,1,P15,B,processing,#FFFFFF,#4d8a42,image26,image290,NA,left,left,TRUE,557.4000000953674,NA,NA
13,1,P15,B,processing,#732a74,#FFFFFF,image35,image26,NA,right,right,TRUE,796.8999999761581,NA,NA
13,1,P16,B,processing,#1b9d48,#FFFFFF,image279,image26,NA,right,right,TRUE,621.1000000238419,NA,NA
13,1,P16,B,processing,#c6970c,#FFFFFF,image58,image26,NA,right,right,TRUE,595.2999999523163,NA,NA
13,1,P16,B,processing,#ab1c80,#FFFFFF,image299,image26,NA,right,right,TRUE,558.1000000238419,NA,NA
13,1,P16,B,processing,#4d4c9a,#FFFFFF,image241,image26,NA,right,right,TRUE,684.8000000715256,NA,NA
13,1,P17,B,processing,#b4480e,#FFFFFF,image364,image26,NA,right,right,TRUE,597.3000000715256,NA,NA
13,1,P17,B,processing,#FFFFFF,#378ab3,image26,image408,NA,left,left,TRUE,575.8999999761581,NA,NA
13,1,P17,B,processing,#FFFFFF,#438c36,image26,image261,NA,left,left,TRUE,535.3000000715256,NA,NA
13,1,P17,B,processing,#b238aa,#FFFFFF,image135,image26,NA,right,right,TRUE,833.4000000953674,NA,NA
13,1,P18,B,processing,#FFFFFF,#8b6227,image26,image78,NA,left,left,TRUE,530.5,NA,NA
13,1,P18,B,processing,#FFFFFF,#379a13,image26,image145,NA,left,left,TRUE,474.10000002384186,NA,NA
13,1,P18,B,processing,#FFFFFF,#0fb4eb,image26,image336,NA,left,left,TRUE,622.4000000953674,NA,NA
13,1,P18,B,processing,#721485,#FFFFFF,image64,image26,NA,right,right,TRUE,670.1999999284744,NA,NA
13,1,P19,B,processing,#a45151,#FFFFFF,image138,image26,NA,right,right,TRUE,531.2999999523163,NA,NA
13,1,P19,B,processing,#FFFFFF,#a9c51b,image26,image61,NA,left,left,TRUE,1160.5,NA,NA
13,1,P19,B,processing,#4f3e89,#FFFFFF,image351,image26,NA,right,right,TRUE,1114.7000000476837,NA,NA
13,1,P19,B,processing,#FFFFFF,#1dbfbc,image26,image205,NA,left,left,TRUE,712.6999999284744,NA,NA
13,1,P20,B,processing,#FFFFFF,#1338ae,image26,image63,NA,left,left,TRUE,597.7999999523163,NA,NA
13,1,P20,B,processing,#FFFFFF,#3a8d5f,image26,image120,NA,left,left,TRUE,590.7999999523163,NA,NA
13,1,P20,B,processing,#FFFFFF,#921680,image26,image321,NA,left,left,TRUE,355.5,NA,NA
13,1,P20,B,processing,#FFFFFF,#9f942d,image26,image189,NA,left,left,TRUE,412.89999997615814,NA,NA
13,1,P21,B,processing,#970c97,#FFFFFF,image176,image26,NA,right,right,TRUE,797,NA,NA
13,1,P21,B,processing,#FFFFFF,#ae7f29,image26,image405,NA,left,left,TRUE,711.5,NA,NA
13,1,P21,B,processing,#FFFFFF,#10da32,image26,image261,NA,left,left,TRUE,457.3000000715256,NA,NA
13,1,P21,B,processing,#FFFFFF,#1847a5,image26,image39,NA,left,left,TRUE,450.89999997615814,NA,NA
13,1,P22,B,processing,#76ca16,#FFFFFF,image280,image26,NA,right,right,TRUE,710.7000000476837,NA,NA
13,1,P22,B,processing,#FFFFFF,#0d98ab,image26,image115,NA,left,left,TRUE,734.5,NA,NA
13,1,P22,B,processing,#7c12d9,#FFFFFF,image35,image26,NA,right,right,TRUE,763.7999999523163,NA,NA
13,1,P22,B,processing,#9c5a40,#FFFFFF,image301,image26,NA,right,right,TRUE,747.5,NA,NA
13,1,P23,B,processing,#5ca518,#FFFFFF,image407,image26,NA,right,right,TRUE,635.7999999523163,NA,NA
13,1,P23,B,processing,#FFFFFF,#6e368c,image26,image230,NA,left,left,TRUE,591.5,NA,NA
13,1,P23,B,processing,#316d87,#FFFFFF,image107,image26,NA,right,right,TRUE,666.5,NA,NA
13,1,P23,B,processing,#FFFFFF,#8c5840,image26,image353,NA,left,left,TRUE,666.5,NA,NA
13,1,P24,B,processing,#427d40,#FFFFFF,image1,image26,NA,right,right,TRUE,667,NA,NA
13,1,P24,B,processing,#FFFFFF,#906731,image26,image4,NA,left,left,TRUE,601.2999999523163,NA,NA
13,1,P24,B,processing,#bc23c7,#FFFFFF,image77,image26,NA,right,right,TRUE,706,NA,NA
13,1,P24,B,processing,#FFFFFF,#196b9f,image26,image321,NA,left,left,TRUE,640,NA,NA
13,1,P25,B,processing,#FFFFFF,#90375d,image26,image257,NA,left,left,TRUE,572.5,NA,NA
13,1,P25,B,processing,#b4ce0d,#FFFFFF,image421,image26,NA,right,right,TRUE,758.2999999523163,NA,NA
13,1,P25,B,processing,#231a89,#FFFFFF,image104,image26,NA,right,right,TRUE,655.1000000238419,NA,NA
13,1,P25,B,processing,#FFFFFF,#208343,image26,image276,NA,left,left,TRUE,678.1000000238419,NA,NA
13,1,1,B,memory-resp,#cab22b,#FFFFFF,image189,image26,NA,right,right,TRUE,974.2999999523163,image189,image26
13,1,1,B,memory-resp,#a50d6b,#FFFFFF,image95,image26,NA,right,right,TRUE,696.7999999523163,image95,image26
13,1,1,B,memory-resp,#346550,#FFFFFF,image357,image26,NA,right,right,TRUE,566.4000000953674,image357,image26
13,1,1,B,memory-resp,#FFFFFF,#39418e,image26,image391,NA,left,left,TRUE,932.7000000476837,image391,image26
13,1,1,B,retrieval,NA,NA,NA,NA,image95,NA,image95,TRUE,2830.899999976158,image95,image26
13,1,1,B,retrieval,NA,NA,NA,NA,image189,NA,image189,TRUE,4374.700000047684,image189,image26
13,1,1,B,retrieval,NA,NA,NA,NA,image391,NA,image391,TRUE,1878.0999999046326,image391,image26
13,1,1,B,retrieval,NA,NA,NA,NA,image357,NA,image357,TRUE,730.3999999761581,image357,image26
13,1,2,B,memory-resp,#FFFFFF,#3f9d10,image26,image31,NA,left,left,TRUE,1111.5,image31,image26
13,1,2,B,memory-resp,#2884af,#FFFFFF,image169,image26,NA,right,right,TRUE,685.1000000238419,image169,image26
13,1,2,B,memory-resp,#FFFFFF,#a45f51,image26,image94,NA,left,left,TRUE,888.7000000476837,image94,image26
13,1,2,B,memory-resp,#FFFFFF,#5e1c82,image26,image199,NA,left,left,TRUE,642.2000000476837,image199,image26
13,1,2,B,retrieval,NA,NA,NA,NA,image169,NA,image169,TRUE,1461.2000000476837,image169,image26
13,1,2,B,retrieval,NA,NA,NA,NA,image94,NA,image94,TRUE,1925.8999999761581,image94,image26
