participant,blockID,trialID,condition,screenID,leftColor,rightColor,leftImage,leftSize,rightImage,rightSize,correctObject,correctResp,response,acc,rt,target,distractor
5,1,11,D,retrieval,NA,NA,NA,NA,NA,NA,image371,NA,image78,FALSE,2943.100000023842,image371,image146
5,1,11,D,retrieval,NA,NA,NA,NA,NA,NA,image429,NA,image429,TRUE,1592.2999999523163,image429,image146
5,1,12,D,memory-resp,#253074,#FFFFFF,image234,24,image158,150,NA,right,left,FALSE,2413,image234,image158
5,1,12,D,memory-resp,#FFFFFF,#8e972b,image7,3,image134,7,NA,right,NULL,FALSE,NA,image134,image134
5,1,12,D,memory-resp,#FFFFFF,#a9286d,image320,170,image186,999,NA,right,right,TRUE,2014.1999999284744,image186,image186
5,1,12,D,memory-resp,#FFFFFF,#11d05a,image423,5,image286,270,NA,right,right,TRUE,2078.2999999523163,image286,image286
5,1,12,D,retrieval,NA,NA,NA,NA,NA,NA,image234,NA,image234,TRUE,1506.2000000476837,image234,image158
5,1,12,D,retrieval,NA,NA,NA,NA,NA,NA,image186,NA,image423,FALSE,5166.600000023842,image186,image158
5,1,12,D,retrieval,NA,NA,NA,NA,NA,NA,image134,NA,image416,FALSE,4112.900000095367,image134,image158
5,1,12,D,retrieval,NA,NA,NA,NA,NA,NA,image286,NA,image286,TRUE,768.3999999761581,image286,image158
5,1,13,D,memory-resp,#FFFFFF,#8ca93d,image303,20,image17,7,NA,left,left,TRUE,1745.2000000476837,image17,image303
5,1,13,D,memory-resp,#54a081,#FFFFFF,image31,150,image149,29.3,NA,left,left,TRUE,2350.600000023842,image31,image31
5,1,13,D,memory-resp,#af4b70,#FFFFFF,image319,34,image252,12,NA,left,left,TRUE,2086.2000000476837,image319,image319
5,1,13,D,memory-resp,#FFFFFF,#5117c4,image194,240,image385,48,NA,left,right,FALSE,1521.5,image385,image194
5,1,13,D,retrieval,NA,NA,NA,NA,NA,NA,image17,NA,image31,FALSE,1911.7000000476837,image17,image303
5,1,13,D,retrieval,NA,NA,NA,NA,NA,NA,image31,NA,image17,FALSE,1380.6999999284744,image31,image303
5,1,13,D,retrieval,NA,NA,NA,NA,NA,NA,image385,NA,image194,FALSE,1392.6000000238419,image385,image303
5,1,13,D,retrieval,NA,NA,NA,NA,NA,NA,image319,NA,image319,TRUE,4530.899999976158,image319,image303
5,1,14,D,memory-resp,#FFFFFF,#44a79e,image344,4,image163,8,NA,right,right,TRUE,2177.899999976158,image163,image163
5,1,14,D,memory-resp,#76a037,#FFFFFF,image104,6,image186,999,NA,right,right,TRUE,1568.7000000476837,image104,image186
5,1,14,D,memory-resp,#4b1fc1,#FFFFFF,image129,17,image326,1.9,NA,left,left,TRUE,1831.4000000953674,image129,image129
5,1,14,D,memory-resp,#FFFFFF,#742529,image294,2.5,image71,8,NA,right,right,TRUE,2592.5,image71,image71
5,1,14,D,retrieval,NA,NA,NA,NA,NA,NA,image129,NA,image129,TRUE,7726.100000023842,image129,image163
5,1,14,D,retrieval,NA,NA,NA,NA,NA,NA,image104,NA,image104,TRUE,1327.1000000238419,image104,image163
5,1,14,D,retrieval,NA,NA,NA,NA,NA,NA,image71,NA,image71,TRUE,2911.600000023842,image71,image163
5,1,14,D,retrieval,NA,NA,NA,NA,NA,NA,image163,NA,image163,TRUE,1116.1000000238419,image163,image163
5,1,15,D,memory-resp,#653b72,#FFFFFF,image180,14,image94,3.4,NA,left,left,TRUE,2366.899999976158,image180,image180
5,1,15,D,memory-resp,#FFFFFF,#34970c,image59,0.8,image209,5.5,NA,right,right,TRUE,2685.5,image209,image209
5,1,15,D,memory-resp,#FFFFFF,#4a888c,image337,12.3,image259,30,NA,right,right,TRUE,2321.1999999284744,image259,image259
5,1,15,D,memory-resp,#FFFFFF,#cc1c19,image157,95,image103,999,NA,right,right,TRUE,1634.1000000238419,image103,image103
5,1,15,D,retrieval,NA,NA,NA,NA,NA,NA,image209,NA,image209,TRUE,1656.6000000238419,image209,image180
5,1,15,D,retrieval,NA,NA,NA,NA,NA,NA,image180,NA,image180,TRUE,3030.3000000715256,image180,image180
5,1,15,D,retrieval,NA,NA,NA,NA,NA,NA,image259,NA,image103,FALSE,3762.2999999523163,image259,image180
5,1,15,D,retrieval,NA,NA,NA,NA,NA,NA,image103,NA,image103,TRUE,2804.6999999284744,image103,image180
5,2,P1,B,processing,#78483f,#FFFFFF,image413,153,image405,10,NA,right,right,TRUE,590.5,NA,NA
5,2,P1,B,processing,#2781a5,#FFFFFF,image262,7.5,image405,10,NA,right,right,TRUE,463.2000000476837,NA,NA
5,2,P1,B,processing,#790995,#FFFFFF,image215,153,image405,10,NA,right,right,TRUE,435.89999997615814,NA,NA
