participant,blockID,trialID,condition,screenID,leftColor,rightColor,leftImage,leftSize,rightImage,rightSize,correctObject,correctResp,response,acc,rt,target,distractor
2,2,10,D,retrieval,NA,NA,NA,NA,NA,NA,image213,NA,image213,TRUE,2485.8999999910593,image213,image285
2,2,11,D,memory-resp,#FFFFFF,#9e3d7e,image216,500,image312,20.5,NA,left,left,TRUE,1388.0999999940395,image312,image216
2,2,11,D,memory-resp,#8e9b17,#FFFFFF,image342,100,image116,14.5,NA,left,left,TRUE,1092.2999999970198,image342,image342
2,2,11,D,memory-resp,#FFFFFF,#352c77,image158,150,image173,999,NA,right,right,TRUE,1640.0999999940395,image173,image173
2,2,11,D,memory-resp,#FFFFFF,#0f8a46,image302,11,image12,3,NA,left,left,TRUE,1865.7000000029802,image12,image302
2,2,11,D,retrieval,NA,NA,NA,NA,NA,NA,image342,NA,image342,TRUE,4599,image342,image216
2,2,11,D,retrieval,NA,NA,NA,NA,NA,NA,image173,NA,image173,TRUE,2494.0999999940395,image173,image216
2,2,11,D,retrieval,NA,NA,NA,NA,NA,NA,image12,NA,image12,TRUE,1842.7000000029802,image12,image216
2,2,11,D,retrieval,NA,NA,NA,NA,NA,NA,image312,NA,image312,TRUE,2302.3999999910593,image312,image216
2,2,12,D,memory-resp,#2f6f59,#FFFFFF,image325,12.6,image16,999,NA,right,left,FALSE,1497.6000000089407,image325,image16
2,2,12,D,memory-resp,#310a94,#FFFFFF,image232,180,image389,4.8,NA,left,left,TRUE,1007.0999999940395,image232,image232
2,2,12,D,memory-resp,#FFFFFF,#8c8e10,image228,250,image169,999,NA,right,right,TRUE,1791,image169,image169
2,2,12,D,memory-resp,#FFFFFF,#933457,image79,170,image425,700,NA,right,right,TRUE,855.7000000029802,image425,image425
2,2,12,D,retrieval,NA,NA,NA,NA,NA,NA,image169,NA,image169,TRUE,2215.2999999970198,image169,image16
2,2,12,D,retrieval,NA,NA,NA,NA,NA,NA,image232,NA,image232,TRUE,2454.1000000089407,image232,image16
2,2,12,D,retrieval,NA,NA,NA,NA,NA,NA,image425,NA,image425,TRUE,2391.7000000029802,image425,image16
2,2,12,D,retrieval,NA,NA,NA,NA,NA,NA,image325,NA,image325,TRUE,2570.4000000059605,image325,image16
