participant,blockID,trialID,condition,screenID,leftColor,rightColor,leftImage,leftSize,rightImage,rightSize,correctObject,correctResp,response,acc,rt,target,distractor
4,1,P3,B,processing,#FFFFFF,#9118b9,image405,10,image420,150,NA,left,left,TRUE,722.6999999992549,NA,NA
4,1,P3,B,processing,#FFFFFF,#1e991a,image405,10,image107,200,NA,left,left,TRUE,664.1999999992549,NA,NA
4,1,P3,B,processing,#3f6b92,#FFFFFF,image169,999,image405,10,NA,right,right,TRUE,1112.199999999255,NA,NA
4,1,P4,B,processing,#FFFFFF,#a89c2e,image405,10,image45,13,NA,left,left,TRUE,852,NA,NA
4,1,P4,B,processing,#313187,#FFFFFF,image181,999,image405,10,NA,right,right,TRUE,818.5,NA,NA
4,1,P4,B,processing,#912256,#FFFFFF,image143,72,image405,10,NA,right,right,TRUE,590,NA,NA
4,1,P4,B,processing,#0eaa59,#FFFFFF,image404,7.5,image405,10,NA,right,right,TRUE,492.5,NA,NA
4,1,P5,B,processing,#FFFFFF,#cc8d0f,image405,10,image370,58.5,NA,left,left,TRUE,1400.5999999996275,NA,NA
4,1,P5,B,processing,#FFFFFF,#961d7e,image405,10,image99,16.5,NA,left,left,TRUE,771.9000000003725,NA,NA
4,1,P5,B,processing,#2a70a2,#FFFFFF,image155,14.5,image405,10,NA,right,right,TRUE,894.5999999996275,NA,NA
4,1,P5,B,processing,#FFFFFF,#3b7236,image405,10,image379,15,NA,left,left,TRUE,721.1000000014901,NA,NA
4,1,P6,B,processing,#a50d22,#FFFFFF,image148,30,image405,10,NA,right,right,TRUE,935.3999999985099,NA,NA
4,1,P6,B,processing,#6b8439,#FFFFFF,image117,10,image405,10,NA,right,right,TRUE,786.5,NA,NA
4,1,P6,B,processing,#FFFFFF,#227774,image405,10,image365,5,NA,left,left,TRUE,2870.39999999851,NA,NA
4,1,P6,B,processing,#FFFFFF,#5e2d9a,image405,10,image133,300,NA,left,left,TRUE,1361.8999999985099,NA,NA
4,1,P7,B,processing,#FFFFFF,#1710cb,image405,10,image39,16,NA,left,left,TRUE,872.4000000003725,NA,NA
4,1,P7,B,processing,#719915,#FFFFFF,image144,60,image405,10,NA,right,right,TRUE,724,NA,NA
4,1,P7,B,processing,#db1a84,#FFFFFF,image401,12,image405,10,NA,right,right,TRUE,483.2999999988824,NA,NA
4,1,P7,B,processing,#15a26a,#FFFFFF,image339,20,image405,10,NA,right,right,TRUE,490.5,NA,NA
4,1,P8,B,processing,#25935a,#FFFFFF,image165,6.6,image405,10,NA,right,right,TRUE,752.8000000007451,NA,NA
4,1,P8,B,processing,#746e2f,#FFFFFF,image353,5,image405,10,NA,right,right,TRUE,592.2999999988824,NA,NA
4,1,P8,B,processing,#772847,#FFFFFF,image253,50,image405,10,NA,right,right,TRUE,548.5999999996275,NA,NA
4,1,P8,B,processing,#495ba2,#FFFFFF,image290,8.5,image405,10,NA,right,right,TRUE,545.5,NA,NA
4,1,P9,B,processing,#FFFFFF,#7d7821,image405,10,image71,8,NA,left,left,TRUE,797.7000000011176,NA,NA
4,1,P9,B,processing,#da165e,#FFFFFF,image223,170,image405,10,NA,right,right,TRUE,618.6999999992549,NA,NA
4,1,P9,B,processing,#FFFFFF,#368769,image405,10,image423,5,NA,left,left,TRUE,665.6999999992549,NA,NA
4,1,P9,B,processing,#FFFFFF,#542fca,image405,10,image241,90,NA,left,left,TRUE,843.8999999985099,NA,NA
4,1,P10,B,processing,#FFFFFF,#5b7b24,image405,10,image321,40,NA,left,left,TRUE,1178.5,NA,NA
4,1,P10,B,processing,#428f7b,#FFFFFF,image64,960,image405,10,NA,right,right,TRUE,694.3000000007451,NA,NA
4,1,P10,B,processing,#FFFFFF,#b04a60,image405,10,image243,27.1,NA,left,left,TRUE,862.5,NA,NA
4,1,P10,B,processing,#62358d,#FFFFFF,image238,120,image405,10,NA,right,right,TRUE,694.5999999996275,NA,NA
4,1,P11,B,processing,#FFFFFF,#c612d3,image405,10,image102,700,NA,left,left,TRUE,815.5,NA,NA
4,1,P11,B,processing,#FFFFFF,#d76814,image405,10,image375,8,NA,left,left,TRUE,780.0999999996275,NA,NA
4,1,P11,B,processing,#FFFFFF,#1a87c1,image405,10,image10,10,NA,left,left,TRUE,741.1999999992549,NA,NA
4,1,P11,B,processing,#48db1f,#FFFFFF,image95,1,image405,10,NA,right,right,TRUE,1401.9000000003725,NA,NA
4,1,P12,B,processing,#bc8838,#FFFFFF,image72,3,image405,10,NA,right,right,TRUE,856.9000000003725,NA,NA
4,1,P12,B,processing,#cd0ec4,#FFFFFF,image158,150,image405,10,NA,right,right,TRUE,706.6999999992549,NA,NA
4,1,P12,B,processing,#FFFFFF,#3d9442,image405,10,image141,30,NA,left,left,TRUE,1072.3999999985099,NA,NA
4,1,P12,B,processing,#4388ad,#FFFFFF,image153,40.3,image405,10,NA,right,right,TRUE,820.7000000011176,NA,NA
4,1,P13,B,processing,#FFFFFF,#8f2d3c,image405,10,image129,17,NA,left,left,TRUE,821.7999999988824,NA,NA
4,1,P13,B,processing,#58348d,#FFFFFF,image159,120,image405,10,NA,right,right,TRUE,745.5,NA,NA
4,1,P13,B,processing,#FFFFFF,#5e8712,image405,10,image218,13.5,NA,left,left,TRUE,780,NA,NA
4,1,P13,B,processing,#FFFFFF,#418175,image405,10,image382,23.2,NA,left,left,TRUE,824.4000000003725,NA,NA
4,1,P14,B,processing,#FFFFFF,#7b582d,image405,10,image63,800,NA,left,left,TRUE,858.2000000011176,NA,NA
4,1,P14,B,processing,#FFFFFF,#a6308b,image405,10,image208,11,NA,left,left,TRUE,872.3000000007451,NA,NA
4,1,P14,B,processing,#268242,#FFFFFF,image300,800,image405,10,NA,right,right,TRUE,1017.8000000007451,NA,NA
4,1,P14,B,processing,#FFFFFF,#2a52b2,image405,10,image24,80,NA,left,left,TRUE,1609.5,NA,NA
4,1,P15,B,processing,#b58e3b,#FFFFFF,image172,8,image405,10,NA,right,right,TRUE,862.8999999985099,NA,NA
4,1,P15,B,processing,#3cbe70,#FFFFFF,image12,3,image405,10,NA,right,right,TRUE,791.5999999996275,NA,NA
4,1,P15,B,processing,#FFFFFF,#950f7c,image405,10,image3,12,NA,left,left,TRUE,841,NA,NA
