participant,blockID,trialID,condition,screenID,leftColor,rightColor,leftImage,leftSize,rightImage,rightSize,correctObject,correctResp,response,acc,rt,target,distractor
45,3,10,B,memory-resp,#e31673,#FFFFFF,image35,999,image405,10,NA,right,right,TRUE,2306.7000000029802,image35,image405
45,3,10,B,memory-resp,#282895,#FFFFFF,image393,204,image405,10,NA,right,right,TRUE,2134.300000011921,image393,image405
45,3,10,B,memory-resp,#0eaa6e,#FFFFFF,image230,999,image405,10,NA,right,right,TRUE,2425.5,image230,image405
45,3,10,B,retrieval,NA,NA,NA,NA,NA,NA,image99,NA,image99,TRUE,7857,image99,image405
45,3,10,B,retrieval,NA,NA,NA,NA,NA,NA,image393,NA,image393,TRUE,3805.5999999940395,image393,image405
45,3,10,B,retrieval,NA,NA,NA,NA,NA,NA,image35,NA,image35,TRUE,5590.5,image35,image405
45,3,10,B,retrieval,NA,NA,NA,NA,NA,NA,image230,NA,image230,TRUE,4694.20000000298,image230,image405
45,3,11,B,memory-resp,#1049b1,#FFFFFF,image158,150,image405,10,NA,right,right,TRUE,2851,image158,image405
45,3,11,B,memory-resp,#ab3fa2,#FFFFFF,image233,6.2,image405,10,NA,right,right,TRUE,2073.9000000059605,image233,image405
45,3,11,B,memory-resp,#876c21,#FFFFFF,image269,45,image405,10,NA,right,right,TRUE,2046.7999999970198,image269,image405
45,3,11,B,memory-resp,#36ba52,#FFFFFF,image21,20,image405,10,NA,right,right,TRUE,2083.2000000029802,image21,image405
45,3,11,B,retrieval,NA,NA,NA,NA,NA,NA,image233,NA,image233,TRUE,5754.199999988079,image233,image405
45,3,11,B,retrieval,NA,NA,NA,NA,NA,NA,image21,NA,image21,TRUE,5333.79999999702,image21,image405
45,3,11,B,retrieval,NA,NA,NA,NA,NA,NA,image158,NA,image158,TRUE,5720.29999999702,image158,image405
45,3,11,B,retrieval,NA,NA,NA,NA,NA,NA,image269,NA,image269,TRUE,3290,image269,image405
45,3,12,B,memory-resp,#FFFFFF,#b911c5,image405,10,image245,10.5,NA,left,left,TRUE,2931.3999999910593,image245,image405
45,3,12,B,memory-resp,#FFFFFF,#1cd932,image405,10,image138,2,NA,left,left,TRUE,2509.4000000059605,image138,image405
45,3,12,B,memory-resp,#FFFFFF,#814d18,image405,10,image307,28,NA,left,left,TRUE,1822,image307,image405
45,3,12,B,memory-resp,#42739e,#FFFFFF,image63,800,image405,10,NA,right,right,TRUE,2383.9000000059605,image63,image405
45,3,12,B,retrieval,NA,NA,NA,NA,NA,NA,image138,NA,image138,TRUE,5845.29999999702,image138,image405
45,3,12,B,retrieval,NA,NA,NA,NA,NA,NA,image307,NA,image307,TRUE,3241.5,image307,image405
45,3,12,B,retrieval,NA,NA,NA,NA,NA,NA,image63,NA,image63,TRUE,3399.5999999940395,image63,image405
45,3,12,B,retrieval,NA,NA,NA,NA,NA,NA,image245,NA,image63,FALSE,4475.0999999940395,image245,image405
45,3,13,B,memory-resp,#85cb2a,#FFFFFF,image35,999,image405,10,NA,right,right,TRUE,2853.2000000029802,image35,image405
